County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Willacy,11,800,"2,249","1,728",521,"16,897","3,057",325,557,"7,612",,,
Williamson,7,"65,550","59,078","42,782","16,296","458,433","73,202","14,404","4,639","146,388",,,
Wilson,8,"4,100","5,875","3,799","2,076","40,488","8,411","1,224",615,"13,986",,,
Winkler,9/10,400,830,604,226,"5,954",964,102,0,"2,445",,,
Wise,2/3,"6,850","7,186","4,375","2,811","54,722","10,598","3,589",552,"22,459",,,
Wood,4/5N,"2,400","3,927","2,997",930,"38,005","12,527","1,046",880,"13,019",,,
Yoakum,1,800,"1,069",715,354,"6,135","1,033",225,60,"2,367",,,
Young,2/3,"2,700","2,143","1,561",582,"14,219","3,774",862,431,"5,296",,,
Zapata,11,700,"1,499","1,327",172,"9,981","1,866",195,202,"4,642",,,
Zavala,8,200,"2,544","2,268",276,"8,840","1,723",25,60,"4,035",,,
*Other,N/A,"9,775","337,246","268,993","68,253",,,,,,,,
,,,,,,,,,,,,,
